anio,sexo,cantidad_personas,grupo_edad,lugar_residencia
2013,m,1163,0 - 9,Ciudad de Buenos Aires
2013,m,2657,10 - 19,Ciudad de Buenos Aires
2013,m,6999,20 - 29,Ciudad de Buenos Aires
2013,m,7437,30 - 39,Ciudad de Buenos Aires
2013,m,8783,40 - 49,Ciudad de Buenos Aires
2013,m,7800,50 - 59,Ciudad de Buenos Aires
2013,m,7721,60 - 69,Ciudad de Buenos Aires
2013,m,5802,70 - 79,Ciudad de Buenos Aires
2013,m,2777,80 - 89,Ciudad de Buenos Aires
2013,m,288,90 y más,Ciudad de Buenos Aires
2013,m,274,Ignorado,Ciudad de Buenos Aires
2013,m,495,0 - 9,Otros fuera de CABA
2013,m,1491,10 - 19,Otros fuera de CABA
2013,m,4022,20 - 29,Otros fuera de CABA
2013,m,4041,30 - 39,Otros fuera de CABA
2013,m,4675,40 - 49,Otros fuera de CABA
2013,m,4110,50 - 59,Otros fuera de CABA
2013,m,2763,60 - 69,Otros fuera de CABA
2013,m,1196,70 - 79,Otros fuera de CABA
2013,m,299,80 - 89,Otros fuera de CABA
2013,m,34,90 y más,Otros fuera de CABA
2013,m,246,Ignorado,Otros fuera de CABA
2013,m,375,0 - 9,Ignorado
2013,m,714,10 - 19,Ignorado
2013,m,1769,20 - 29,Ignorado
2013,m,1839,30 - 39,Ignorado
2013,m,3758,40 - 49,Ignorado
2013,m,2231,50 - 59,Ignorado
2013,m,2007,60 - 69,Ignorado
2013,m,1366,70 - 79,Ignorado
2013,m,587,80 - 89,Ignorado
2013,m,54,90 y más,Ignorado
2013,m,313,Ignorado,Ignorado
2013,v,918,0 - 9,Ciudad de Buenos Aires
2013,v,1606,10 - 19,Ciudad de Buenos Aires
2013,v,4803,20 - 29,Ciudad de Buenos Aires
2013,v,5880,30 - 39,Ciudad de Buenos Aires
2013,v,7527,40 - 49,Ciudad de Buenos Aires
2013,v,6830,50 - 59,Ciudad de Buenos Aires
2013,v,7084,60 - 69,Ciudad de Buenos Aires
2013,v,4919,70 - 79,Ciudad de Buenos Aires
2013,v,2224,80 - 89,Ciudad de Buenos Aires
2013,v,242,90 y más,Ciudad de Buenos Aires
2013,v,222,Ignorado,Ciudad de Buenos Aires
2013,v,386,0 - 9,Otros fuera de CABA
2013,v,797,10 - 19,Otros fuera de CABA
2013,v,3012,20 - 29,Otros fuera de CABA
2013,v,3401,30 - 39,Otros fuera de CABA
2013,v,4129,40 - 49,Otros fuera de CABA
2013,v,3723,50 - 59,Otros fuera de CABA
2013,v,2867,60 - 69,Otros fuera de CABA
